CMO,School Name,Year Open,City,State,Zip,Low Grade,High Grade,,,,,,,,,
Cesar Chavez (D.C.),Cesar Chavez Public Charter High School for Public Policy - Capital Hill Campus,1999,Washington,DC,20003,09,12,,,,,,,,,
Cesar Chavez (D.C.),Cesar Chavez Public Charter High School for Public Policy - Parkside Campus,2007,Washington,DC,20019,06,12,,,,,,,,,
Cesar Chavez (D.C.),Cesar Chavez Public Charter School for Public Policy - Bruce Prep Campus - Middle School,2007,Washington,DC,20009,05,07,,,,,,,,,
Cesar Chavez School Network,Cesar Chavez Academy,2001,Pueblo,CO,81003,KG,08,,,,,,,,,
Cesar Chavez School Network,Dolores Huerta Preparatory High School,2004,Pueblo,CO,81003,09,12,,,,,,,,,
Cesar Chavez School Network,Cesar Chavez Colorado Springs - Central,2007,Colorado Springs,CO,80909,01,05,,,,,,,,,
Cesar Chavez School Network,Cesar Chavez Academy - North,2008,Colorado Springs,CO,80909,01,08,,,,,,,,,
Cesar Chavez School Network,Goal Academy,2008,Pueblo,CO,81003,09,12,,,,,,,,,
Choice Education and Development Corporation (Sequoia),Sequoia Charter High School of Maricopa,1996,Maricopa,AZ,,9,12,,,,,,,,,
Choice Education and Development Corporation (Sequoia),Sequoia Charter Elementary School,1997,Mesa,AZ,85204,KG,06,,,,,,,,,
Choice Education and Development Corporation (Sequoia),Pathfinder Academy,1998,Mesa,AZ,85207,KG,08,,,,,,,,,
Choice Education and Development Corporation (Sequoia),Sequoia Village School,1999,Show Low,AZ,85901,KG,08,,,,,,,,,
Choice Education and Development Corporation (Sequoia),Learning Crossroads Basic Academy,2000,Mesa,AZ,85204,KG,12,,,,,,,,,
Choice Education and Development Corporation (Sequoia),Redwood Elementary Academy,2000,Peoria,AZ,85381,KG,08,,,,,,,,,
Choice Education and Development Corporation (Sequoia),Sequoia Charter Secondary,2000,Mesa,AZ,85204,07,12,,,,,,,,,
Choice Education and Development Corporation (Sequoia),Sequoia School For The Deaf And Hard Of Hearing,2000,Mesa,AZ,85204,KG,12,,,,,,,,,
Choice Education and Development Corporation (Sequoia),Sequoia Ranch,2001,Mayer,AZ,86333,KG,11,,,,,,,,,
Choice Education and Development Corporation (Sequoia),Arizona Conservatory For Arts And Academics,2003,Phoenix,AZ,85052,06,12,,,,,,,,,
Choice Education and Development Corporation (Sequoia),Sequoia Family Learning,2003,Mesa,AZ,85204,KG,12,,,,,,,,,
Choice Education and Development Corporation (Sequoia),Children First Academy - Phoenix,2008,Phoenix,AZ,85003,KG,06,,,,,,,,,
Choice Education and Development Corporation (Sequoia),Children First Academy - Tempe,2008,Tempe,AZ,85281,KG,06,,,,,,,,,
Civitas,Chicago International Charter School (Cics) - Northtown,2003,Chicago,IL,60659,09,12,,,,,,,,,
Civitas,Chicago International Charter School (Cics) - Wrightwood,2005,Chicago,IL,60652,KG,08,,,,,,,,,
Civitas,Chicago International Charter School (Cics) - Ellison,2006,Chicago,IL,60620,09,11,,,,,,,,,
Constellation Schools,Old Brooklyn Community Elementary,1998,Cleveland,OH,44109,KG,04,,,,,,,,,
Constellation Schools,Parma Community School,2000,Parma Hts,OH,44130,KG,10,,,,,,,,,
Constellation Schools,Elyria Community School,2001,Elyria,OH,44035,KG,06,,,,,,,,,
Constellation Schools,Lorain Elementary School,2001,Lorain,OH,44055,KG,06,,,,,,,,,
Constellation Schools,Westpark Community School,2001,Cleveland,OH,44135,KG,04,,,,,,,,,
Constellation Schools,Mansfield Community School,2002,Mansfield,OH,44906,KG,06,,,,,,,,,
Constellation Schools,Puritas Community School,2003,Cleveland,OH,44135,KG,04,,,,,,,,,
Constellation Schools,Madison Community School,2004,Cleveland,OH,44102,KG,07,,,,,,,,,
Constellation Schools,Stockyard Community School,2004,Cleveland,OH,44102,KG,07,,,,,,,,,
Constellation Schools,Constellation Schools: Lorain Community Middle School,2006,Lorain,OH,44052,05,08,,,,,,,,,
Constellation Schools,Constellation Schools: Old Brooklyn Middle School,2006,Cleveland,OH,44109,05,08,,,,,,,,,
Constellation Schools,Constellation Schools: Outreach Academy For Students With Disabilities,2006,Cleveland,OH,44109,03,12,,,,,,,,,
Constellation Schools,Constellation Schools: Puritas Community Middle School,2006,Cleveland,OH,44135,05,08,,,,,,,,,
Constellation Schools,Constellation Schools: Westpark Community Middle School,2006,Cleveland,OH,44135,05,08,,,,,,,,,
Constellation Schools,Constellation Schools: Westside Community School For The Arts,2007,Cleveland,OH,44111,KG,04,,,,,,,,,
Constellation Schools,Parma Community High School,2007,,OH,,,,,,,,,,,,
Crescendo,Crescendo Charter,2005,Los Angeles,CA,90062,KG,06,,,,,,,,,
Crescendo,Crescendo Charter Academy,2006,Gardena,CA,90249,KG,04,,,,,,,,,
Crescendo,Crescendo Charter Conservatory,2006,Los Angeles,CA,90044,KG,03,,,,,,,,,
Crescendo,Crescendo Charter Preparatory Central,2007,Los Angeles,CA,90062,KG,03,,,,,,,,,
Crescendo,Crescendo Charter Preparatory South,2007,Los Angeles,CA,90044,KG,03,,,,,,,,,
Crescendo,Crescendo Charter Preparatory West,2007,Gardena,CA,90247,KG,05,,,,,,,,,
DC Prep,D.C. Preparatory Public Charter School - Edgewood Middle School,2003,Washington,DC,20017,04,08,,,,,,,,,
DC Prep,D.C. Preparatory Public Charter School - Edgewood Elementary Campus,2007,Washington,DC,20017,PK,03,,,,,,,,,
DC Prep,D.C. Preparatory Public Charter School - Benning Academy Campus,2008,Washington,DC,20017,PK,PK,,,,,,,,,
Education for Change,Education For Change At Cox El,2004,Oakland,CA,94603,KG,05,,,,,,,,,
Education for Change,World Academy,2005,Oakland,CA,94601,KG,03,,,,,,,,,
Education for Change,Achieve Academy,2006,Oakland,CA,94601,04,05,,,,,,,,,
EdVantages,Middletown Preparatory And Fitness Academy,2002,Middletown,OH,45044,KG,08,,,,,,,,,
EdVantages,Trotwood Preparatory And Fitness Academy,2002,Trotwood,OH,45426,KG,08,,,,,,,,,
EdVantages,Northland Preparatory & Fitness,2004,Columbus,OH,43229,KG,08,,,,,,,,,
EdVantages,Springfield Preparatory & Fitness Academy,2004,Springfield,OH,45505,KG,08,,,,,,,,,
EdVantages,Whitehall Preparatory & Fitness Academy,2004,Columbus,OH,43227,KG,08,,,,,,,,,
EdVantages,Cincinnati Preparatory And Fitness Academy,2005,Cincinnati,OH,45231,KG,08,,,,,,,,,
EdVantages,Columbus Preparatory And Fitness Academy,2005,Columbus,OH,43207,KG,08,,,,,,,,,
EdVantages,Mount Healthy Preparatory And Fitness Academy,2005,Cincinnati,OH,45231,KG,05,,,,,,,,,
Envision Schools,City Arts And Tech High,2004,San Francisco,CA,94112,09,12,,,,,,,,,
Envision Schools,Metropolitan Arts & Technology High,2005,San Francisco,CA,94134,09,12,,,,,,,,,
Envision Schools,Envision Academy Of Arts & Technology,2006,Oakland,CA,94612,09,11,,,,,,,,,
Envision Schools,Impact Academy Of Arts & Technology,2007,Hayward,CA,94542,09,10,,,,,,,,,
